id,name_formal,state,official_sk,district_sk,party,gov_type,city,district_id,valid_to,last_name,valid_from,first_name,links,chamber_id,num_officials,chamber_type
201316,California State Assembly,CA,134747,752652,Democrat,STATE,,37,2018-12-03 00:00:00+00,Limón,2016-12-05 00:00:00+00,S. Monique,#,2446,1,LOWER
185090,California State Assembly,CA,185088,752665,,STATE,,39,,VACANT,2017-11-27 00:00:00+00,VACANT,#,2446,1,LOWER
79800,California Senate,CA,16407,752734,Democrat,STATE,,20,2014-12-01 00:00:00+00,Padilla,2012-12-03 00:00:00+00,Alex,#,1403,1,UPPER
194486,California State Assembly,CA,32812,752703,Democrat,STATE,,29,2018-12-03 00:00:00+00,Stone,2012-12-03 00:00:00+00,Mark,#,2446,1,LOWER
194477,California State Assembly,CA,32912,752662,Democrat,STATE,,65,2018-12-03 00:00:00+00,Quirk-Silva,2016-12-05 00:00:00+00,Sharon,#,2446,1,LOWER
77022,California Senate,CA,897,752762,Democrat,STATE,,35,2014-09-22 00:00:00+00,Wright,2012-12-03 00:00:00+00,Roderick,#,1403,1,UPPER
188288,United States House of Representatives,CA,33981,757239,Democrat,NATIONAL,,7,2019-01-03 00:00:00+00,Bera,2013-01-03 00:00:00+00,Ami,#,4507,1,LOWER
192953,California Senate,CA,41853,752745,Republican,STATE,,4,2018-12-03 00:00:00+00,Nielsen,2013-01-14 00:00:00+00,Jim,#,1403,1,UPPER
11518,United States House of Representatives,CA,11518,856,Democrat,NATIONAL,,6,2013-01-03 00:00:00+00,Woolsey,2011-01-06 00:00:00+00,Lynn,#,4507,0,LOWER
175374,El Cajon City Council,CA,168924,858427,,LOCAL,El Cajon,At Large,2020-12-01 00:00:00+00,Kalasho,2016-12-01 00:00:00+00,Ben,#,4515,1,LOWER
131990,Los Angeles County Board of Supervisors,CA,2056,2919,,LOCAL,Los Angeles,5,2016-12-05 00:00:00+00,Antonovich,2011-01-01 00:00:00+00,Michael,#,1614,1,LOWER
174638,San Mateo City Council,CA,172991,858947,,LOCAL,San Mateo,At Large,2017-12-04 00:00:00+00,Lim,2012-01-01 00:00:00+00,David,#,4413,1,LOWER
80221,California State Assembly,CA,17085,752673,Republican,STATE,,73,2014-12-01 00:00:00+00,Harkey,2012-12-03 00:00:00+00,Diane,#,2446,1,LOWER
66238,United States House of Representatives,CA,10978,848,Republican,NATIONAL,,52,2009-01-06 00:00:00+00,Hunter,2007-01-06 00:00:00+00,Duncan,#,4507,0,LOWER
54869,Stockton City Council,CA,4975,2855,,LOCAL,Stockton,1,2013-01-01 00:00:00+00,Holman,2011-01-01 00:00:00+00,Elbert,#,4253,0,LOWER
69746,Long Beach City Council,CA,17180,2791,,LOCAL,Long Beach,3,2014-07-17 00:00:00+00,DeLong,0001-01-01 00:00:00+00,Gary,#,1473,1,LOWER
198910,Costa Mesa City Council,CA,171534,858476,,LOCAL,Costa Mesa,At Large,2020-12-01 00:00:00+00,Genis,2016-12-13 00:00:00+00,Sandra,#,4054,1,LOWER
188606,United States House of Representatives,CA,11065,757214,Democrat,NATIONAL,,11,2019-01-03 00:00:00+00,DeSaulnier,2015-01-06 00:00:00+00,Mark,11065,4507,1,LOWER
54490,California State Assembly,CA,17704,752674,Democrat,STATE,,52,2013-06-01 00:00:00+00,Torres,2012-12-03 00:00:00+00,Norma,80134,2446,1,LOWER
106383,California State Assembly,CA,32834,752720,Republican,STATE,,38,2016-12-05 00:00:00+00,Wilk,2012-12-03 00:00:00+00,Scott,201170,2446,1,LOWER
192309,California Senate,CA,80093,752727,Republican,STATE,,36,2018-12-03 00:00:00+00,Bates,2014-12-01 00:00:00+00,Patricia,#,1403,1,UPPER
194115,San Francisco Board of Supervisors,CA,194115,859498,,LOCAL,San Francisco,2,2019-01-08 00:00:00+00,Stefani,2018-01-30 00:00:00+00,Catherine,#,2636,1,LOWER
80139,California State Assembly,CA,1099,752646,Democrat,STATE,,56,2014-12-01 00:00:00+00,Pérez,2012-12-03 00:00:00+00,V.,#,2446,1,LOWER
168974,Glendale City Council,CA,168749,858344,,LOCAL,Glendale,At Large,2019-04-01 00:00:00+00,Devine,2015-04-01 00:00:00+00,Paula,#,3376,1,LOWER
134817,San Diego City Council,CA,17192,1289,,LOCAL,San Diego,4,2012-12-03 00:00:00+00,Young,0001-01-01 00:00:00+00,Tony,#,4259,0,LOWER
194480,California State Assembly,CA,63264,752674,Democrat,STATE,,52,2018-12-03 00:00:00+00,Rodriguez,2013-10-11 00:00:00+00,Freddie,#,2446,1,LOWER
199146,Torrance City Council,CA,168997,858336,,LOCAL,Torrance,At Large,2018-06-12 00:00:00+00,Furey,2014-06-10 00:00:00+00,Patrick,#,3409,1,LOWER
178424,Berkeley City Council,CA,115035,841043,,LOCAL,Berkeley,8,2018-12-01 00:00:00+00,Droste,2014-12-01 00:00:00+00,Lori,#,4500,1,LOWER
188255,United States House of Representatives,CA,7776,757222,Republican,NATIONAL,,21,2019-01-03 00:00:00+00,Valadao,2013-01-03 00:00:00+00,David,#,4507,1,LOWER
80149,California State Assembly,CA,32918,752653,Democrat,STATE,,66,2014-12-01 00:00:00+00,Muratsuchi,2012-12-03 00:00:00+00,Al,#,2446,1,LOWER
13576,San Francisco Board of Supervisors,CA,13576,494,,LOCAL,San Francisco,10,2011-01-08 00:00:00+00,Maxwell,0001-01-01 00:00:00+00,Sophie,#,2636,1,LOWER
199981,Rialto City Council,CA,168855,858423,,LOCAL,Rialto,At Large,2020-12-01 00:00:00+00,Trujillo,2016-11-01 00:00:00+00,Rafael,#,3346,1,LOWER
86856,Bakersfield City Council,CA,3443,1721,,LOCAL,Bakersfield,7,2014-11-05 00:00:00+00,Johnson,2011-01-01 00:00:00+00,Russell,#,2613,1,LOWER
194357,California State Assembly,CA,9109,752704,Democrat,STATE,,30,2018-12-03 00:00:00+00,Caballero,2016-12-05 00:00:00+00,Anna,#,2446,1,LOWER
79798,California Senate,CA,3038,752753,Republican,STATE,,14,2014-12-01 00:00:00+00,Berryhill,2012-12-03 00:00:00+00,Tom,#,1403,1,UPPER
18152,San Jose City Council,CA,18152,2686,,LOCAL,San Jose,2,2008-12-31 00:00:00+00,Williams,0001-01-01 00:00:00+00,Forest,#,2638,1,LOWER
18196,Stockton City Council,CA,18196,2863,,LOCAL,Stockton,6,2008-12-31 00:00:00+00,Nabors,0001-01-01 00:00:00+00,Rebecca,#,4253,0,LOWER
200587,Los Angeles City Council,CA,109828,758072,,LOCAL,Los Angeles,4,2019-07-01 00:00:00+00,Ryu,2015-07-01 00:00:00+00,David,#,4327,1,LOWER
162378,United States House of Representatives,CA,9796,757204,Democrat,NATIONAL,,2,2019-01-03 00:00:00+00,Huffman,2013-01-03 00:00:00+00,Jared,#,4507,1,LOWER
194348,California State Assembly,CA,32933,752659,Republican,STATE,,72,2018-12-03 00:00:00+00,Allen,2012-12-03 00:00:00+00,Travis,#,2446,1,LOWER
196554,Santa Clarita City Council,CA,170628,859008,,LOCAL,Santa Clarita,At Large,2018-12-11 00:00:00+00,Miranda,2017-01-17 00:00:00+00,Bill,#,4140,1,LOWER
14950,Stockton City Council,CA,14950,2860,,LOCAL,Stockton,4,2008-12-31 00:00:00+00,Lee,0001-01-01 00:00:00+00,Clem,#,4253,0,LOWER
10341,United States House of Representatives,CA,10341,881,Democrat,NATIONAL,,16,2013-01-03 00:00:00+00,Lofgren,2011-01-06 00:00:00+00,Zoe,#,4507,0,LOWER
178419,Berkeley City Council,CA,177852,841044,,LOCAL,Berkeley,3,2020-12-01 00:00:00+00,Bartlett,2016-12-01 00:00:00+00,Ben,#,4500,1,LOWER
201416,Ontario City Council,CA,168732,858342,,LOCAL,Ontario,At Large,2018-11-30 00:00:00+00,Leon,2015-11-01 00:00:00+00,Paul,#,3806,1,LOWER
86963,San Francisco Board of Supervisors,CA,16737,1006,,LOCAL,San Francisco,3,2014-12-03 00:00:00+00,Chiu,2009-01-08 00:00:00+00,David,194365,2636,1,LOWER
188700,Oceanside City Council,CA,168708,858368,,LOCAL,Oceanside,At Large,2018-12-04 00:00:00+00,Feller,2014-12-03 00:00:00+00,Jack,#,3424,1,LOWER
201415,Antioch City Council,CA,170372,858690,,LOCAL,Antioch,At Large,2018-12-01 00:00:00+00,Wilson,2014-12-09 00:00:00+00,Monica,#,3492,1,LOWER
194375,California State Assembly,CA,12429,752702,Democrat,STATE,,13,2018-12-03 00:00:00+00,Eggman,2012-12-03 00:00:00+00,Susan,32793,2446,1,LOWER
178024,Downey City Council,CA,171655,858500,,LOCAL,Downey,3,2020-11-06 00:00:00+00,Rodriguez,2016-11-01 00:00:00+00,Rick,#,4056,1,LOWER
131433,Los Angeles City Council,CA,130796,758075,,LOCAL,Los Angeles,7,2017-07-01 00:00:00+00,VACANT,2016-09-10 00:00:00+00,VACANT,#,4327,1,LOWER
10066,San Jose City Council,CA,10066,2698,,LOCAL,San Jose,8,2008-12-31 00:00:00+00,Cortese,0001-01-01 00:00:00+00,David,#,2638,1,LOWER
195953,Berkeley City Council,CA,17140,841042,,LOCAL,Berkeley,1,2018-12-01 00:00:00+00,Maio,2014-12-01 00:00:00+00,Linda,#,4500,1,LOWER
194352,California State Assembly,CA,32713,752694,Republican,STATE,,5,2018-12-03 00:00:00+00,Bigelow,2012-12-03 00:00:00+00,Frank,#,2446,1,LOWER
168791,Thousand Oaks City Council,CA,168665,858418,,LOCAL,Thousand Oaks,At Large,2018-12-01 00:00:00+00,Price,2014-12-01 00:00:00+00,Joel,#,3415,1,LOWER
195970,San Diego City Council,CA,80975,752540,Republican,LOCAL,San Diego,6,2018-12-03 00:00:00+00,Cate,2014-12-08 00:00:00+00,Chris,#,4259,1,LOWER
122145,Oakland City Council,CA,3699,2183,,LOCAL,Oakland,AT LARGE,2015-01-05 00:00:00+00,Kaplan,2008-01-01 00:00:00+00,Rebecca,#,2823,1,LOWER
33209,San Diego Mayor,CA,4536,277,,LOCAL,San Diego,SAN DIEGO,2012-12-03 00:00:00+00,Sanders,0001-01-01 00:00:00+00,Jerry,#,2635,1,EXEC
194564,Sunnyvale City Council,CA,168715,858370,,LOCAL,Sunnyvale,At Large,2018-12-31 00:00:00+00,Griffith,2015-07-28 00:00:00+00,Jim,#,3377,1,LOWER
8710,San Francisco Board of Supervisors,CA,8710,1955,,LOCAL,San Francisco,9,2009-01-08 00:00:00+00,Ammiano,0001-01-01 00:00:00+00,Tom,#,2636,1,LOWER
54589,Los Angeles City Council,CA,15552,567,,LOCAL,Los Angeles,15,2009-06-01 00:00:00+00,Hahn,2005-07-01 00:00:00+00,Janice,#,4327,0,LOWER
9130,Oakland Mayor,CA,9130,241,,LOCAL,Oakland,OAKLAND,2011-01-01 00:00:00+00,Dellums,0001-01-01 00:00:00+00,Ron,#,2626,1,EXEC
178420,Berkeley City Council,CA,177856,841038,,LOCAL,Berkeley,4,2020-12-01 00:00:00+00,Harrison,2016-12-01 00:00:00+00,Kate,#,4500,1,LOWER
196457,Salinas City Council,CA,171014,859135,,LOCAL,Salinas,At Large,2018-11-13 00:00:00+00,Gunter,2016-11-15 00:00:00+00,Joe,#,3861,1,LOWER
198884,Antioch City Council,CA,170355,858690,,LOCAL,Antioch,At Large,2020-12-01 00:00:00+00,Thorpe,2016-12-08 00:00:00+00,Lamar,#,3492,1,LOWER
