last_name,links,first_name,valid_to,district_id,chamber_type,city,valid_from,name_formal,party,id,district_sk,state,chamber_id,gov_type,num_officials,official_sk
Rose,#,Patrick,2011-01-01 00:00:00+00,000000000045,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Democrat,6973,5838,TX,2661,STATE,0,6973
Turner,#,Chris,2019-01-08 00:00:00+00,101,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,200836,760055,TX,2661,STATE,1,28250
Farias,#,Joe,2015-01-05 00:00:00+00,000000000118,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56736,754767,TX,2661,STATE,0,10793
Kuempel,#,Edmund ,2011-01-01 00:00:00+00,000000000044,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Republican,7668,5893,TX,2661,STATE,0,7668
Kleinschmidt,#,Tim,2013-01-08 00:00:00+00,000000000017,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,17176,5824,TX,2661,STATE,0,17176
Cuellar,#,Henry,2019-01-03 00:00:00+00,000000000028,LOWER,,2013-01-03 00:00:00+00,United States House of Representatives,Democrat,159963,757481,TX,4507,NATIONAL,1,4402
Ryan,#,John,2019-05-31 00:00:00+00,4,LOWER,Denton,2017-05-31 00:00:00+00,Denton City Council,,199157,858520,TX,4530,LOCAL,1,174125
Thornberry,#,William,2013-01-03 00:00:00+00,000000000013,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Republican,33815,1812,TX,4507,NATIONAL,0,15330
King,#,Ken,2015-01-05 00:00:00+00,000000000088,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,56763,754737,TX,2661,STATE,0,28910
Strama,#,Mark,2013-01-08 00:00:00+00,000000000050,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Democrat,8271,5827,TX,2661,STATE,0,8271
Molina,#,Ben,2018-11-30 00:00:00+00,2,LOWER,Corpus Christi,2016-12-13 00:00:00+00,Corpus Christi City Council,,197217,858625,TX,4549,LOCAL,1,174809
Seliger,#,Kel,2013-01-08 00:00:00+00,000000000031,UPPER,,2009-01-06 00:00:00+00,The Senate of Texas,Republican,21630,2346,TX,2664,STATE,0,15903
Green,#,Ronald,2010-01-01 00:00:00+00,At Large,LOWER,Houston,2008-01-01 00:00:00+00,Houston City Council,,2181,3029,TX,2814,LOCAL,5,2181
Green,#,Eugene,2013-01-03 00:00:00+00,000000000029,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Democrat,7073,1882,TX,4507,NATIONAL,0,7073
Canales,#,Terry,2015-01-05 00:00:00+00,000000000040,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,67212,754689,TX,2661,STATE,0,28884
Warrick,#,Alan,2017-06-01 00:00:00+00,2,LOWER,San Antonio,2014-12-01 00:00:00+00,San Antonio City Council,,160157,760785,TX,1560,LOCAL,1,109008
Garza,#,Rudy,2018-11-30 00:00:00+00,5,LOWER,Corpus Christi,2012-11-30 00:00:00+00,Corpus Christi City Council,,197221,858617,TX,4549,LOCAL,1,174812
Farney,#,Marsha,2017-01-10 00:00:00+00,20,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,112213,759974,TX,2661,STATE,1,28869
Uresti,#,Carlos,2021-01-12 00:00:00+00,000000000019,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Democrat,195318,754818,TX,2664,STATE,1,10304
Bradford,#,C.O.,2016-01-02 00:00:00+00,At Large,LOWER,Houston,2012-01-02 00:00:00+00,Houston City Council,,114310,3029,TX,2814,LOCAL,5,9633
